Date,Open,High,Low,Close,Adj Close,Volume
2004-04-15,35.625000,37.924999,34.387501,36.945000,25.402643,10672880
2004-04-16,37.000000,37.494999,36.532501,37.207500,25.583136,0
2004-04-19,36.375000,36.912498,35.037498,35.599998,24.477848,2156208
2004-04-20,35.657501,36.412498,35.657501,35.924999,24.701321,2346448
2004-04-21,35.400002,36.562500,35.000000,36.195000,24.886969,1979624
2004-04-22,36.500000,36.750000,35.500000,36.470001,25.076042,1744304
2004-04-23,36.625000,38.187500,36.375000,37.687500,25.913183,6009048
2004-04-26,36.625000,38.187500,36.375000,37.687500,25.913183,0
2004-04-27,37.625000,37.625000,35.375000,36.200001,24.890402,5817320
2004-04-28,36.187500,36.362499,35.025002,35.224998,24.220015,3363120
2004-04-29,35.000000,35.474998,34.375000,34.482498,23.709488,4884000
2004-04-30,34.500000,35.007500,34.375000,34.395000,23.822033,2677256
2004-05-03,34.137501,35.125000,33.832500,34.907501,24.176989,3347560
2004-05-04,35.000000,35.744999,34.662498,35.437500,24.544073,4612632
2004-05-05,35.950001,36.557499,35.662498,36.220001,25.086039,5754896
2004-05-06,36.262501,36.875000,36.262501,36.619999,25.363071,3176792
2004-05-07,35.875000,36.500000,35.500000,35.682499,24.713755,3195480
2004-05-10,35.000000,35.000000,30.682501,34.162498,23.660999,2773960
2004-05-11,33.875000,34.375000,32.500000,33.474998,23.184843,2015040
2004-05-12,33.750000,35.612499,33.012501,34.950001,24.206423,4720336
2004-05-13,33.750000,37.450001,31.875000,36.837502,25.513699,5391688
2004-05-14,37.250000,38.320000,35.000000,36.712502,25.427134,7134040
2004-05-17,36.762501,36.762501,31.332500,35.312500,24.457497,4671080
2004-05-18,35.250000,38.125000,32.500000,37.400002,25.903296,4076936
2004-05-19,38.112499,38.500000,36.695000,37.107498,25.700722,5766696
2004-05-20,37.375000,38.232498,36.575001,37.645000,26.072979,5141008
2004-05-21,37.625000,38.962502,37.125000,38.494999,26.661697,7324144
2004-05-24,39.907501,43.625000,39.375000,42.632500,29.527346,18058960
2004-05-25,43.125000,43.125000,40.137501,41.375000,28.656395,20376432
2004-05-26,41.750000,42.632500,41.332500,41.724998,28.898809,9133968
2004-05-27,41.849998,42.282501,40.137501,40.587502,28.110966,8182256
2004-05-28,40.625000,41.099998,36.657501,37.387501,25.894644,9907440
2004-05-31,36.875000,38.362499,36.250000,37.349998,25.868670,10360624
2004-06-01,37.912498,39.419998,37.912498,38.262501,26.500673,9468152
2004-06-02,38.375000,38.937500,38.000000,38.375000,26.578590,4545648
2004-06-03,38.875000,39.250000,35.657501,36.070000,24.982143,6121344
2004-06-04,36.000000,38.099998,35.500000,37.724998,26.128391,7178288
2004-06-07,38.375000,39.007500,38.000000,38.570000,26.713642,5343128
2004-06-08,39.250000,39.375000,37.575001,38.195000,26.453924,3892584
2004-06-09,38.237499,38.470001,37.195000,37.724998,26.128391,7413688
2004-06-10,37.625000,39.049999,37.387501,38.875000,26.924887,5751440
2004-06-11,39.062500,39.375000,37.500000,37.575001,26.024508,7602072
2004-06-14,37.750000,37.750000,35.907501,36.174999,25.054855,4822176
2004-06-15,36.237499,37.312500,35.950001,36.799999,25.487738,3744544
2004-06-16,37.125000,37.270000,36.125000,36.770000,25.466957,6924432
2004-06-17,36.750000,36.849998,35.770000,36.682499,25.406359,7968480
2004-06-18,37.000000,37.237499,35.657501,36.419998,25.224541,5585304
2004-06-21,36.575001,37.049999,35.875000,36.007500,24.938854,3723128
2004-06-22,36.062500,36.674999,35.750000,36.532501,25.302471,4744536
2004-06-23,36.750000,37.687500,36.007500,36.674999,25.401165,10478256
2004-06-24,36.970001,38.312500,36.294998,37.812500,26.188993,6416144
2004-06-25,38.000000,38.375000,37.220001,37.820000,26.194197,6895160
2004-06-28,38.125000,38.737499,37.770000,38.607498,26.739616,7070312
2004-06-29,38.750000,39.162498,37.812500,38.500000,26.665163,9697888
2004-06-30,38.750000,38.750000,37.137501,37.312500,25.842695,5993368
2004-07-01,37.375000,38.182499,36.650002,38.032501,26.341368,4805888
2004-07-02,37.512501,38.487499,37.007500,37.750000,26.145702,5474752
2004-07-05,37.950001,38.262501,37.032501,37.349998,25.868670,4209840
2004-07-06,37.212502,37.587502,36.500000,37.424999,25.920620,5361432
2004-07-07,37.500000,37.674999,34.325001,34.957500,24.211618,19098192
2004-07-08,35.437500,36.845001,34.375000,36.445000,25.241859,18069392
2004-07-09,35.875000,36.750000,33.875000,36.607498,25.354418,4864344
2004-07-12,36.625000,37.494999,36.500000,36.807499,25.492928,3468352
2004-07-13,37.062500,37.987499,37.000000,37.220001,25.778641,6818752
2004-07-14,37.375000,38.187500,37.020000,37.137501,25.721495,7960112
2004-07-15,37.187500,38.057499,37.049999,37.924999,26.266916,4646608
2004-07-16,38.125000,38.549999,37.632500,38.307499,26.531841,6316832
2004-07-19,37.875000,38.619999,37.750000,37.919998,26.263454,4741096
2004-07-20,37.612499,37.987499,37.037498,37.282501,25.821924,3155608
2004-07-21,37.737499,38.137501,37.132500,37.669998,26.090298,4122744
2004-07-22,38.375000,38.375000,37.512501,37.645000,26.072979,3671088
2004-07-23,37.737499,39.087502,37.737499,38.262501,26.500673,5705064
2004-07-26,38.125000,39.200001,37.794998,39.000000,27.011467,7005800
2004-07-27,39.362499,39.924999,37.900002,38.145000,26.419281,0
2004-07-28,38.500000,39.424999,38.007500,39.232498,27.172493,9136688
2004-07-29,39.500000,39.587502,38.757500,39.125000,27.098036,7518648
2004-07-30,39.500000,40.000000,39.250000,39.500000,27.357771,7250944
2004-08-02,39.937500,39.937500,38.887501,39.070000,27.059940,3115272
2004-08-03,39.012501,39.487499,38.474998,38.662498,26.777710,4510472
